Date,Price,Open,High,Low,Vol.,Change %
"Nov 15, 2013",971.07,973.12,975.49,965.77,968.12M,0.50%
"Nov 18, 2013",974.16,977.78,978.68,972.34,971.91M,0.32%
"Nov 19, 2013",966.06,972.29,972.80,963.46,688.95M,-0.83%
"Nov 20, 2013",960.66,967.93,972.68,957.31,1.51B,-0.56%
"Nov 21, 2013",940.41,952.46,953.20,939.04,1.22B,-2.11%
"Nov 22, 2013",927.07,937.53,941.76,924.63,1.29B,-1.42%
"Nov 25, 2013",923.30,918.12,928.66,917.24,894.31M,-0.41%
"Nov 26, 2013",927.55,919.54,934.71,918.07,2.66B,0.46%
"Nov 27, 2013",937.53,924.96,938.51,924.04,1.37B,1.08%
"Nov 28, 2013",927.29,940.56,942.25,924.82,1.08B,-1.09%
"Nov 29, 2013",935.22,924.34,935.83,920.70,936.70M,0.86%
"Dec 02, 2013",938.80,926.74,939.59,921.06,1.16B,0.38%
"Dec 03, 2013",945.88,938.24,952.77,937.46,1.55B,0.75%
"Dec 04, 2013",939.42,943.32,949.81,939.42,783.81M,-0.68%
"Dec 06, 2013",928.98,936.76,939.51,923.10,1.02B,-1.11%
"Dec 09, 2013",934.34,935.98,942.05,925.08,910.34M,0.58%
"Dec 11, 2013",935.79,929.81,937.28,929.39,638.42M,0.16%
"Dec 12, 2013",925.03,931.54,934.96,925.03,986.67M,-1.15%
"Dec 13, 2013",912.95,923.87,926.03,909.99,901.93M,-1.31%
"Dec 16, 2013",904.51,909.99,911.11,902.11,709.67M,-0.92%
"Dec 17, 2013",911.88,910.16,914.24,908.74,885.39M,0.81%
"Dec 18, 2013",922.32,915.51,925.25,914.71,827.88M,1.14%
"Dec 19, 2013",919.45,922.46,925.26,916.50,848.00M,-0.31%
"Dec 20, 2013",916.83,918.72,919.22,907.92,676.35M,-0.28%
"Dec 23, 2013",904.57,916.16,917.11,901.41,668.91M,-1.34%
"Dec 24, 2013",905.31,900.86,911.42,900.10,585.01M,0.08%
"Dec 25, 2013",909.60,906.41,910.11,904.77,477.40M,0.47%
"Dec 26, 2013",891.45,910.28,910.83,886.22,889.22M,-2.00%
"Dec 27, 2013",883.40,888.91,889.61,875.17,1.15B,-0.90%
"Jan 02, 2014",833.29,878.09,878.80,833.29,1.15B,-5.67%
"Jan 03, 2014",829.89,822.27,837.38,816.50,1.32B,-0.41%
"Jan 06, 2014",837.68,829.46,838.87,815.56,1.21B,0.94%
"Jan 07, 2014",861.63,842.15,861.71,840.12,1.13B,2.86%
"Jan 08, 2014",859.35,861.40,871.47,854.50,1.15B,-0.26%
"Jan 09, 2014",860.00,864.58,875.56,856.62,919.86M,0.08%
"Jan 10, 2014",858.25,850.59,861.79,845.18,718.61M,-0.20%
"Jan 13, 2014",880.70,849.36,880.70,849.21,986.56M,2.62%
"Jan 14, 2014",887.93,874.54,892.46,872.68,1.37B,0.82%
"Jan 15, 2014",871.02,885.12,889.09,870.00,1.03B,-1.90%
"Jan 16, 2014",888.02,874.18,891.94,873.16,1.53B,1.95%
"Jan 17, 2014",883.94,890.86,891.70,876.50,1.20B,-0.46%
"Jan 20, 2014",879.05,879.66,885.32,877.28,611.78M,-0.55%
"Jan 21, 2014",880.84,883.37,890.70,874.45,973.17M,0.20%
"Jan 22, 2014",879.59,872.89,884.16,871.11,1.05B,-0.14%
"Jan 23, 2014",894.11,881.05,897.30,877.37,1.36B,1.65%
"Jan 24, 2014",898.88,898.91,903.86,892.58,1.18B,0.53%
"Jan 27, 2014",878.55,884.29,885.93,877.50,793.47M,-2.26%
"Jan 28, 2014",865.18,877.11,878.00,861.99,930.08M,-1.52%
